"candidato","votos","porcentaje","partido","municipio","departamento","dane"
"JOSE HUBER ARAUJO NIETO",6437,33.93,"PARTIDO CENTRO DEMOCRÁTICO","LETICIA","Amazonas","60001"
"HUGO ALBERTO PEREZ ARAUJO",4355,22.96,"PARTIDO LIBERAL COLOMBIANO","LETICIA","Amazonas","60001"
"JUAN CARLOS MARTINEZ QUIÑONES",4332,22.84,"PARTIDO ALIANZA VERDE - PARTIDO DE LA U","LETICIA","Amazonas","60001"
"HECTOR FABIO OSORIO RIVILLAS",1640,8.64,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","LETICIA","Amazonas","60001"
"JHICEL BENJUMEA ACOSTA",861,4.53,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","LETICIA","Amazonas","60001"
"LUIS FERNANDO MONTES",425,2.24,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","LETICIA","Amazonas","60001"
"LAUREANO ROA BONILLA",291,1.53,"PARTIDO CONSERVADOR COLOMBIANO","LETICIA","Amazonas","60001"
"JOSE ALBERTO LOZADA PINEDO",1319,43.45,"PARTIDO CENTRO DEMOCRÁTICO","PUERTO NARIÑO","Amazonas","60007"
"EDILBERTO SUAREZ PINTO",962,31.69,"PARTIDO DE LA U - ALIANZA VERDE","PUERTO NARIÑO","Amazonas","60007"
"LIVIA YANETH AHUE CERRON",430,14.16,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","PUERTO NARIÑO","Amazonas","60007"
"ESSI ZORAIDA VELOZA MONTEIRO",308,10.14,"PARTIDO LIBERAL COLOMBIANO","PUERTO NARIÑO","Amazonas","60007"
"MARIO DE JESUS GUTIERREZ GUZMAN",3102,37.95,"PARTIDO LIBERAL COLOMBIANO","ABEJORRAL","Antioquia","01004"
"DORA LUZ OSORIO TABARES",1771,21.66,"PARTIDO OPCIÓN CIUDADANA","ABEJORRAL","Antioquia","01004"
"IVAN DE JESUS GARCIA RINCON",1580,19.33,"PARTIDO CONSERVADOR COLOMBIANO","ABEJORRAL","Antioquia","01004"
"OTONIEL MAURICIO ARANGO RAMIREZ",1161,14.2,"PARTIDO DE LA U","ABEJORRAL","Antioquia","01004"
"JAVIER DE JESUS CASTRILLON RUIZ",378,4.62,"PARTIDO CENTRO DEMOCRÁTICO","ABEJORRAL","Antioquia","01004"
