"candidato","votos","porcentaje","partido","municipio","departamento","dane"
"MANUEL ANTONIO CAREBILLA CUELLAR",6231,33,"PARTIDO CAMBIO RADICAL","LETICIA","Amazonas","60001"
"HAROLD AUGUSTO VALENCIA INFANTE",4887,25.88,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","LETICIA","Amazonas","60001"
"JHON CARLOS PALOMARES BABILONIA",3790,20.07,"PARTIDO LIBERAL COLOMBIANO - PARTIDO ALIANZA VERDE","LETICIA","Amazonas","60001"
"JHON ALEX BENJUMEA MORENO",1244,6.58,"PARTIDO CONSERVADOR COLOMBIANO","LETICIA","Amazonas","60001"
"HERNANDO EMILIO ZAMBRANO PANTOJA",1053,5.57,"PARTIDO OPCIÓN CIUDADANA","LETICIA","Amazonas","60001"
"CELSO PINEDA BERNAL",450,2.38,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","LETICIA","Amazonas","60001"
"LEVY ANDOKE ANDOKE",348,1.84,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","LETICIA","Amazonas","60001"
"CASIMIRO CABRERA RODRIGUEZ",109,0.57,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","LETICIA","Amazonas","60001"
"MANUEL ANTONIO CAREBILLA CUELLAR",1195,43.01,"PARTIDO CAMBIO RADICAL","PUERTO NARIÑO","Amazonas","60007"
"HAROLD AUGUSTO VALENCIA INFANTE",838,30.16,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","PUERTO NARIÑO","Amazonas","60007"
"JHON CARLOS PALOMARES BABILONIA",431,15.51,"PARTIDO LIBERAL COLOMBIANO - PARTIDO ALIANZA VERDE","PUERTO NARIÑO","Amazonas","60007"
"JHON ALEX BENJUMEA MORENO",88,3.16,"PARTIDO CONSERVADOR COLOMBIANO","PUERTO NARIÑO","Amazonas","60007"
"HERNANDO EMILIO ZAMBRANO PANTOJA",65,2.33,"PARTIDO OPCIÓN CIUDADANA","PUERTO NARIÑO","Amazonas","60007"
"CELSO PINEDA BERNAL",43,1.54,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","PUERTO NARIÑO","Amazonas","60007"
"LEVY ANDOKE ANDOKE",36,1.29,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","PUERTO NARIÑO","Amazonas","60007"
"CASIMIRO CABRERA RODRIGUEZ",15,0.53,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","PUERTO NARIÑO","Amazonas","60007"
"LUIS PEREZ",4722,68.18,"PENSANDO EN GRANDE","ABEJORRAL","Antioquia","01004"
"ANDRES FELIPE GUERRA HOYOS",1100,15.88,"PARTIDO CENTRO DEMOCRÁTICO","ABEJORRAL","Antioquia","01004"
"FEDERICO RESTREPO",736,10.62,"COMPROMISO POR ANTIOQUIA","ABEJORRAL","Antioquia","01004"
"OLMEDO DE JESUS LOPEZ MARTINEZ",74,1.06,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ABEJORRAL","Antioquia","01004"
"JOSE LUIS JARAMILLO CASTRILLON",40,0.57,"PARTIDO UNIÓN PATRIÓTICA","ABEJORRAL","Antioquia","01004"
"LUIS PEREZ",912,73.72,"PENSANDO EN GRANDE","ABRIAQUI","Antioquia","01007"
"ANDRES FELIPE GUERRA HOYOS",221,17.86,"PARTIDO CENTRO DEMOCRÁTICO","ABRIAQUI","Antioquia","01007"
"FEDERICO RESTREPO",80,6.46,"COMPROMISO POR ANTIOQUIA","ABRIAQUI","Antioquia","01007"
"OLMEDO DE JESUS LOPEZ MARTINEZ",3,0.24,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ABRIAQUI","Antioquia","01007"
"JOSE LUIS JARAMILLO CASTRILLON",0,0,"PARTIDO UNIÓN PATRIÓTICA","ABRIAQUI","Antioquia","01007"
"LUIS PEREZ",1077,39.62,"PENSANDO EN GRANDE","ALEJANDRIA","Antioquia","01010"
"FEDERICO RESTREPO",959,35.28,"COMPROMISO POR ANTIOQUIA","ALEJANDRIA","Antioquia","01010"
"ANDRES FELIPE GUERRA HOYOS",503,18.5,"PARTIDO CENTRO DEMOCRÁTICO","ALEJANDRIA","Antioquia","01010"
"OLMEDO DE JESUS LOPEZ MARTINEZ",66,2.42,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ALEJANDRIA","Antioquia","01010"
"JOSE LUIS JARAMILLO CASTRILLON",17,0.62,"PARTIDO UNIÓN PATRIÓTICA","ALEJANDRIA","Antioquia","01010"
"LUIS PEREZ",4924,46.47,"PENSANDO EN GRANDE","AMAGA","Antioquia","01013"
"ANDRES FELIPE GUERRA HOYOS",3734,35.23,"PARTIDO CENTRO DEMOCRÁTICO","AMAGA","Antioquia","01013"
"FEDERICO RESTREPO",1144,10.79,"COMPROMISO POR ANTIOQUIA","AMAGA","Antioquia","01013"
"OLMEDO DE JESUS LOPEZ MARTINEZ",142,1.34,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","AMAGA","Antioquia","01013"
"JOSE LUIS JARAMILLO CASTRILLON",84,0.79,"PARTIDO UNIÓN PATRIÓTICA","AMAGA","Antioquia","01013"
"LUIS PEREZ",3153,48.32,"PENSANDO EN GRANDE","AMALFI","Antioquia","01016"
"FEDERICO RESTREPO",1804,27.65,"COMPROMISO POR ANTIOQUIA","AMALFI","Antioquia","01016"
"ANDRES FELIPE GUERRA HOYOS",835,12.79,"PARTIDO CENTRO DEMOCRÁTICO","AMALFI","Antioquia","01016"
"OLMEDO DE JESUS LOPEZ MARTINEZ",177,2.71,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","AMALFI","Antioquia","01016"
"JOSE LUIS JARAMILLO CASTRILLON",74,1.13,"PARTIDO UNIÓN PATRIÓTICA","AMALFI","Antioquia","01016"
"LUIS PEREZ",6471,47.05,"PENSANDO EN GRANDE","ANDES","Antioquia","01019"
"ANDRES FELIPE GUERRA HOYOS",2896,21.05,"PARTIDO CENTRO DEMOCRÁTICO","ANDES","Antioquia","01019"
"FEDERICO RESTREPO",2881,20.94,"COMPROMISO POR ANTIOQUIA","ANDES","Antioquia","01019"
"OLMEDO DE JESUS LOPEZ MARTINEZ",376,2.73,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ANDES","Antioquia","01019"
"JOSE LUIS JARAMILLO CASTRILLON",112,0.81,"PARTIDO UNIÓN PATRIÓTICA","ANDES","Antioquia","01019"
"LUIS PEREZ",1944,66.64,"PENSANDO EN GRANDE","ANGELOPOLIS","Antioquia","01022"
"ANDRES FELIPE GUERRA HOYOS",528,18.1,"PARTIDO CENTRO DEMOCRÁTICO","ANGELOPOLIS","Antioquia","01022"
"FEDERICO RESTREPO",283,9.7,"COMPROMISO POR ANTIOQUIA","ANGELOPOLIS","Antioquia","01022"
"OLMEDO DE JESUS LOPEZ MARTINEZ",35,1.19,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ANGELOPOLIS","Antioquia","01022"
"JOSE LUIS JARAMILLO CASTRILLON",22,0.75,"PARTIDO UNIÓN PATRIÓTICA","ANGELOPOLIS","Antioquia","01022"
"LUIS PEREZ",2242,66.35,"PENSANDO EN GRANDE","ANGOSTURA","Antioquia","01025"
"ANDRES FELIPE GUERRA HOYOS",471,13.93,"PARTIDO CENTRO DEMOCRÁTICO","ANGOSTURA","Antioquia","01025"
"FEDERICO RESTREPO",362,10.71,"COMPROMISO POR ANTIOQUIA","ANGOSTURA","Antioquia","01025"
"OLMEDO DE JESUS LOPEZ MARTINEZ",64,1.89,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ANGOSTURA","Antioquia","01025"
"JOSE LUIS JARAMILLO CASTRILLON",41,1.21,"PARTIDO UNIÓN PATRIÓTICA","ANGOSTURA","Antioquia","01025"
"LUIS PEREZ",3781,80.65,"PENSANDO EN GRANDE","ANORI","Antioquia","01028"
"ANDRES FELIPE GUERRA HOYOS",335,7.14,"PARTIDO CENTRO DEMOCRÁTICO","ANORI","Antioquia","01028"
"FEDERICO RESTREPO",301,6.42,"COMPROMISO POR ANTIOQUIA","ANORI","Antioquia","01028"
"OLMEDO DE JESUS LOPEZ MARTINEZ",53,1.13,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ANORI","Antioquia","01028"
"JOSE LUIS JARAMILLO CASTRILLON",39,0.83,"PARTIDO UNIÓN PATRIÓTICA","ANORI","Antioquia","01028"
"LUIS PEREZ",4764,51.03,"PENSANDO EN GRANDE","ANTIOQUIA","Antioquia","01031"
"ANDRES FELIPE GUERRA HOYOS",2500,26.78,"PARTIDO CENTRO DEMOCRÁTICO","ANTIOQUIA","Antioquia","01031"
"FEDERICO RESTREPO",1131,12.11,"COMPROMISO POR ANTIOQUIA","ANTIOQUIA","Antioquia","01031"
"OLMEDO DE JESUS LOPEZ MARTINEZ",300,3.21,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ANTIOQUIA","Antioquia","01031"
"JOSE LUIS JARAMILLO CASTRILLON",60,0.64,"PARTIDO UNIÓN PATRIÓTICA","ANTIOQUIA","Antioquia","01031"
"LUIS PEREZ",1547,55.7,"PENSANDO EN GRANDE","ANZA","Antioquia","01034"
"ANDRES FELIPE GUERRA HOYOS",906,32.62,"PARTIDO CENTRO DEMOCRÁTICO","ANZA","Antioquia","01034"
"FEDERICO RESTREPO",156,5.61,"COMPROMISO POR ANTIOQUIA","ANZA","Antioquia","01034"
"JOSE LUIS JARAMILLO CASTRILLON",55,1.98,"PARTIDO UNIÓN PATRIÓTICA","ANZA","Antioquia","01034"
"OLMEDO DE JESUS LOPEZ MARTINEZ",13,0.46,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ANZA","Antioquia","01034"
"LUIS PEREZ",13524,34.51,"PENSANDO EN GRANDE","APARTADO","Antioquia","01035"
"ANDRES FELIPE GUERRA HOYOS",9768,24.92,"PARTIDO CENTRO DEMOCRÁTICO","APARTADO","Antioquia","01035"
"FEDERICO RESTREPO",8113,20.7,"COMPROMISO POR ANTIOQUIA","APARTADO","Antioquia","01035"
"OLMEDO DE JESUS LOPEZ MARTINEZ",965,2.46,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","APARTADO","Antioquia","01035"
"JOSE LUIS JARAMILLO CASTRILLON",716,1.82,"PARTIDO UNIÓN PATRIÓTICA","APARTADO","Antioquia","01035"
"LUIS PEREZ",6763,69.77,"PENSANDO EN GRANDE","ARBOLETES","Antioquia","01037"
"ANDRES FELIPE GUERRA HOYOS",1203,12.41,"PARTIDO CENTRO DEMOCRÁTICO","ARBOLETES","Antioquia","01037"
"FEDERICO RESTREPO",1183,12.2,"COMPROMISO POR ANTIOQUIA","ARBOLETES","Antioquia","01037"
"OLMEDO DE JESUS LOPEZ MARTINEZ",171,1.76,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ARBOLETES","Antioquia","01037"
"JOSE LUIS JARAMILLO CASTRILLON",69,0.71,"PARTIDO UNIÓN PATRIÓTICA","ARBOLETES","Antioquia","01037"
"LUIS PEREZ",1213,38.63,"PENSANDO EN GRANDE","ARGELIA","Antioquia","01039"
"ANDRES FELIPE GUERRA HOYOS",1107,35.25,"PARTIDO CENTRO DEMOCRÁTICO","ARGELIA","Antioquia","01039"
"FEDERICO RESTREPO",696,22.16,"COMPROMISO POR ANTIOQUIA","ARGELIA","Antioquia","01039"
"JOSE LUIS JARAMILLO CASTRILLON",31,0.98,"PARTIDO UNIÓN PATRIÓTICA","ARGELIA","Antioquia","01039"
"OLMEDO DE JESUS LOPEZ MARTINEZ",23,0.73,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ARGELIA","Antioquia","01039"
"LUIS PEREZ",1735,82.57,"PENSANDO EN GRANDE","ARMENIA","Antioquia","01040"
"ANDRES FELIPE GUERRA HOYOS",209,9.94,"PARTIDO CENTRO DEMOCRÁTICO","ARMENIA","Antioquia","01040"
"FEDERICO RESTREPO",64,3.04,"COMPROMISO POR ANTIOQUIA","ARMENIA","Antioquia","01040"
"OLMEDO DE JESUS LOPEZ MARTINEZ",23,1.09,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","ARMENIA","Antioquia","01040"
"JOSE LUIS JARAMILLO CASTRILLON",6,0.28,"PARTIDO UNIÓN PATRIÓTICA","ARMENIA","Antioquia","01040"
"LUIS PEREZ",9134,48.53,"PENSANDO EN GRANDE","BARBOSA","Antioquia","01043"
"ANDRES FELIPE GUERRA HOYOS",4622,24.55,"PARTIDO CENTRO DEMOCRÁTICO","BARBOSA","Antioquia","01043"
"FEDERICO RESTREPO",2770,14.71,"COMPROMISO POR ANTIOQUIA","BARBOSA","Antioquia","01043"
"OLMEDO DE JESUS LOPEZ MARTINEZ",519,2.75,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BARBOSA","Antioquia","01043"
"JOSE LUIS JARAMILLO CASTRILLON",168,0.89,"PARTIDO UNIÓN PATRIÓTICA","BARBOSA","Antioquia","01043"
"LUIS PEREZ",53044,37.48,"PENSANDO EN GRANDE","BELLO","Antioquia","01049"
"ANDRES FELIPE GUERRA HOYOS",42601,30.1,"PARTIDO CENTRO DEMOCRÁTICO","BELLO","Antioquia","01049"
"FEDERICO RESTREPO",24552,17.35,"COMPROMISO POR ANTIOQUIA","BELLO","Antioquia","01049"
"OLMEDO DE JESUS LOPEZ MARTINEZ",2894,2.04,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BELLO","Antioquia","01049"
"JOSE LUIS JARAMILLO CASTRILLON",1383,0.97,"PARTIDO UNIÓN PATRIÓTICA","BELLO","Antioquia","01049"
"LUIS PEREZ",1982,70.81,"PENSANDO EN GRANDE","BELMIRA","Antioquia","01046"
"ANDRES FELIPE GUERRA HOYOS",385,13.75,"PARTIDO CENTRO DEMOCRÁTICO","BELMIRA","Antioquia","01046"
"FEDERICO RESTREPO",296,10.57,"COMPROMISO POR ANTIOQUIA","BELMIRA","Antioquia","01046"
"JOSE LUIS JARAMILLO CASTRILLON",12,0.42,"PARTIDO UNIÓN PATRIÓTICA","BELMIRA","Antioquia","01046"
"OLMEDO DE JESUS LOPEZ MARTINEZ",10,0.35,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BELMIRA","Antioquia","01046"
"LUIS PEREZ",2195,60.66,"PENSANDO EN GRANDE","BETANIA","Antioquia","01052"
"ANDRES FELIPE GUERRA HOYOS",828,22.88,"PARTIDO CENTRO DEMOCRÁTICO","BETANIA","Antioquia","01052"
"FEDERICO RESTREPO",415,11.47,"COMPROMISO POR ANTIOQUIA","BETANIA","Antioquia","01052"
"OLMEDO DE JESUS LOPEZ MARTINEZ",26,0.71,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BETANIA","Antioquia","01052"
"JOSE LUIS JARAMILLO CASTRILLON",20,0.55,"PARTIDO UNIÓN PATRIÓTICA","BETANIA","Antioquia","01052"
"LUIS PEREZ",2668,54.52,"PENSANDO EN GRANDE","BETULIA","Antioquia","01055"
"ANDRES FELIPE GUERRA HOYOS",1180,24.11,"PARTIDO CENTRO DEMOCRÁTICO","BETULIA","Antioquia","01055"
"FEDERICO RESTREPO",657,13.42,"COMPROMISO POR ANTIOQUIA","BETULIA","Antioquia","01055"
"OLMEDO DE JESUS LOPEZ MARTINEZ",52,1.06,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BETULIA","Antioquia","01055"
"JOSE LUIS JARAMILLO CASTRILLON",49,1,"PARTIDO UNIÓN PATRIÓTICA","BETULIA","Antioquia","01055"
"ANDRES FELIPE GUERRA HOYOS",3777,42.86,"PARTIDO CENTRO DEMOCRÁTICO","BOLIVAR","Antioquia","01058"
"LUIS PEREZ",3260,36.99,"PENSANDO EN GRANDE","BOLIVAR","Antioquia","01058"
"FEDERICO RESTREPO",795,9.02,"COMPROMISO POR ANTIOQUIA","BOLIVAR","Antioquia","01058"
"OLMEDO DE JESUS LOPEZ MARTINEZ",95,1.07,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BOLIVAR","Antioquia","01058"
"JOSE LUIS JARAMILLO CASTRILLON",68,0.77,"PARTIDO UNIÓN PATRIÓTICA","BOLIVAR","Antioquia","01058"
"LUIS PEREZ",1988,77.65,"PENSANDO EN GRANDE","BRICEÑO","Antioquia","01062"
"ANDRES FELIPE GUERRA HOYOS",278,10.85,"PARTIDO CENTRO DEMOCRÁTICO","BRICEÑO","Antioquia","01062"
"FEDERICO RESTREPO",127,4.96,"COMPROMISO POR ANTIOQUIA","BRICEÑO","Antioquia","01062"
"JOSE LUIS JARAMILLO CASTRILLON",25,0.97,"PARTIDO UNIÓN PATRIÓTICA","BRICEÑO","Antioquia","01062"
"OLMEDO DE JESUS LOPEZ MARTINEZ",24,0.93,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BRICEÑO","Antioquia","01062"
"LUIS PEREZ",1885,59.76,"PENSANDO EN GRANDE","BURITICA","Antioquia","01061"
"ANDRES FELIPE GUERRA HOYOS",813,25.77,"PARTIDO CENTRO DEMOCRÁTICO","BURITICA","Antioquia","01061"
"FEDERICO RESTREPO",286,9.06,"COMPROMISO POR ANTIOQUIA","BURITICA","Antioquia","01061"
"JOSE LUIS JARAMILLO CASTRILLON",19,0.6,"PARTIDO UNIÓN PATRIÓTICA","BURITICA","Antioquia","01061"
"OLMEDO DE JESUS LOPEZ MARTINEZ",16,0.5,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BURITICA","Antioquia","01061"
"LUIS PEREZ",5383,71.42,"PENSANDO EN GRANDE","CACERES","Antioquia","01064"
"ANDRES FELIPE GUERRA HOYOS",799,10.6,"PARTIDO CENTRO DEMOCRÁTICO","CACERES","Antioquia","01064"
"FEDERICO RESTREPO",750,9.95,"COMPROMISO POR ANTIOQUIA","CACERES","Antioquia","01064"
"OLMEDO DE JESUS LOPEZ MARTINEZ",157,2.08,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CACERES","Antioquia","01064"
"JOSE LUIS JARAMILLO CASTRILLON",79,1.04,"PARTIDO UNIÓN PATRIÓTICA","CACERES","Antioquia","01064"
"LUIS PEREZ",1378,45.49,"PENSANDO EN GRANDE","CAICEDO","Antioquia","01067"
"ANDRES FELIPE GUERRA HOYOS",1199,39.58,"PARTIDO CENTRO DEMOCRÁTICO","CAICEDO","Antioquia","01067"
"FEDERICO RESTREPO",298,9.83,"COMPROMISO POR ANTIOQUIA","CAICEDO","Antioquia","01067"
"OLMEDO DE JESUS LOPEZ MARTINEZ",30,0.99,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CAICEDO","Antioquia","01067"
"JOSE LUIS JARAMILLO CASTRILLON",30,0.99,"PARTIDO UNIÓN PATRIÓTICA","CAICEDO","Antioquia","01067"
"LUIS PEREZ",13386,43.65,"PENSANDO EN GRANDE","CALDAS","Antioquia","01070"
"ANDRES FELIPE GUERRA HOYOS",7308,23.83,"PARTIDO CENTRO DEMOCRÁTICO","CALDAS","Antioquia","01070"
"FEDERICO RESTREPO",5366,17.5,"COMPROMISO POR ANTIOQUIA","CALDAS","Antioquia","01070"
"OLMEDO DE JESUS LOPEZ MARTINEZ",558,1.81,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CALDAS","Antioquia","01070"
"JOSE LUIS JARAMILLO CASTRILLON",242,0.78,"PARTIDO UNIÓN PATRIÓTICA","CALDAS","Antioquia","01070"
"LUIS PEREZ",1349,66.55,"PENSANDO EN GRANDE","CAMPAMENTO","Antioquia","01073"
"FEDERICO RESTREPO",360,17.76,"COMPROMISO POR ANTIOQUIA","CAMPAMENTO","Antioquia","01073"
"ANDRES FELIPE GUERRA HOYOS",158,7.79,"PARTIDO CENTRO DEMOCRÁTICO","CAMPAMENTO","Antioquia","01073"
"JOSE LUIS JARAMILLO CASTRILLON",52,2.56,"PARTIDO UNIÓN PATRIÓTICA","CAMPAMENTO","Antioquia","01073"
"OLMEDO DE JESUS LOPEZ MARTINEZ",28,1.38,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CAMPAMENTO","Antioquia","01073"
"LUIS PEREZ",5096,71.36,"PENSANDO EN GRANDE","CAÑASGORDAS","Antioquia","01076"
"ANDRES FELIPE GUERRA HOYOS",1497,20.96,"PARTIDO CENTRO DEMOCRÁTICO","CAÑASGORDAS","Antioquia","01076"
"FEDERICO RESTREPO",275,3.85,"COMPROMISO POR ANTIOQUIA","CAÑASGORDAS","Antioquia","01076"
"JOSE LUIS JARAMILLO CASTRILLON",44,0.61,"PARTIDO UNIÓN PATRIÓTICA","CAÑASGORDAS","Antioquia","01076"
"OLMEDO DE JESUS LOPEZ MARTINEZ",28,0.39,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CAÑASGORDAS","Antioquia","01076"
"LUIS PEREZ",1304,63.7,"PENSANDO EN GRANDE","CARACOLI","Antioquia","01078"
"ANDRES FELIPE GUERRA HOYOS",426,20.81,"PARTIDO CENTRO DEMOCRÁTICO","CARACOLI","Antioquia","01078"
"FEDERICO RESTREPO",218,10.64,"COMPROMISO POR ANTIOQUIA","CARACOLI","Antioquia","01078"
"OLMEDO DE JESUS LOPEZ MARTINEZ",20,0.97,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CARACOLI","Antioquia","01078"
"JOSE LUIS JARAMILLO CASTRILLON",9,0.43,"PARTIDO UNIÓN PATRIÓTICA","CARACOLI","Antioquia","01078"
"LUIS PEREZ",1294,48.05,"PENSANDO EN GRANDE","CARAMANTA","Antioquia","01079"
"FEDERICO RESTREPO",868,32.23,"COMPROMISO POR ANTIOQUIA","CARAMANTA","Antioquia","01079"
"ANDRES FELIPE GUERRA HOYOS",307,11.39,"PARTIDO CENTRO DEMOCRÁTICO","CARAMANTA","Antioquia","01079"
"OLMEDO DE JESUS LOPEZ MARTINEZ",126,4.67,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CARAMANTA","Antioquia","01079"
"JOSE LUIS JARAMILLO CASTRILLON",20,0.74,"PARTIDO UNIÓN PATRIÓTICA","CARAMANTA","Antioquia","01079"
"LUIS PEREZ",6276,36.52,"PENSANDO EN GRANDE","CAREPA","Antioquia","01080"
"FEDERICO RESTREPO",5697,33.15,"COMPROMISO POR ANTIOQUIA","CAREPA","Antioquia","01080"
